,team,rank,rating,total,goals_for,goals_against,offensive_rating,defensive_rating
0,Spain,1,2165,780,1591,697,2.368383320924088,0.3492575523084423
1,Argentina,2,2113,1109,2112,1136,2.079666572771907,0.39774441365933794
2,France,3,2081,938,1706,1272,1.919774208359619,0.43087137955712
3,England,4,2020,1160,2719,1118,1.6482392209752479,0.5018541914714629
4,Brazil,5,1984,1065,2294,954,1.506377224836434,0.5491159504777455
5,Portugal,5,1984,694,1222,779,1.506377224836434,0.5491159504777455
6,Colombia,7,1975,648,842,741,1.4728621952636878,0.5616111026911087
7,Netherlands,8,1961,901,1892,1142,1.4222037131476268,0.5816155266276013
8,Ecuador,9,1935,599,721,904,1.3327008258851707,0.6206762579626095
9,Croatia,10,1930,398,694,401,1.3161457503440561,0.6284834041958145
10,Germany,11,1923,1045,2352,1232,1.2933135640366722,0.6395786641348735
11,Norway,12,1912,886,1373,1443,1.2582320230542534,0.6574111502790929
12,Japan,13,1906,836,1518,985,1.239499388701661,0.6673466474723551
13,Turkey,14,1902,669,947,969,1.227166163716275,0.6740535927825116
14,Switzerland,15,1894,896,1339,1483,1.2028666456016333,0.6876703786065674
15,Uruguay,16,1892,1019,1610,1254,1.1968673231782665,0.6911173407237252
16,Senegal,17,1878,704,967,669,1.1557015698026294,0.7157347391466743
18,Mexico,19,1868,1029,1824,1055,1.1271671963752086,0.7338536503316928
19,Belgium,20,1867,876,1599,1359,1.1243527978482617,0.7356905796624518
21,Paraguay,22,1833,788,1002,1115,1.0327318568247768,0.800958889887749
22,Austria,23,1827,865,1560,1321,1.0173564825665282,0.8130638333451571
23,Morocco,24,1822,728,1103,614,1.0047186773712438,0.8232909173723315
24,Canada,25,1784,488,626,623,0.9136639719561283,0.9053391476333772
25,Australia,26,1775,636,1289,715,0.8933360789590822,0.9259401708681849
26,Scotland,27,1770,868,1499,1076,0.8822388799602389,0.9375870644369771
31,Iran,32,1764,669,1273,525,0.8691040542308645,0.9517568783246754
32,South Korea,33,1756,1051,1912,964,0.8518946409226156,0.9709836426465159
34,Algeria,35,1743,688,1052,703,0.8246531373040711,1.0030590125422463
35,Panama,36,1737,591,736,906,0.8123756515893643,1.0182183082121763
36,Czechia,37,1733,883,1626,1098,0.8042923787979221,1.0284515723378675
38,Uzbekistan,39,1727,365,635,398,0.7923180252855823,1.0439946274047476
40,United States,41,1721,825,1246,1073,0.7805219466715484,1.0597725856671791
41,Sweden,42,1719,1118,2226,1482,0.776629077221956,1.0650847178590572
45,Egypt,46,1699,884,1545,921,0.7387524301763617,1.1196927790770395
50,Jordan,51,1685,583,728,714,0.7133433478517346,1.1595759098128045
51,Ivory Coast,52,1676,692,1130,695,0.69747234090567,1.1859620992568634
53,DR Congo,54,1655,547,835,641,0.6617996444852499,1.2498884949348488
57,Tunisia,58,1636,775,1105,839,0.631099072096583,1.3106908220386297
62,Iraq,63,1608,760,1203,707,0.5884328745712324,1.4057266297312447
66,Bosnia and Herzegovina,67,1591,280,393,385,0.5639484565881524,1.466757736333637
67,New Zealand,68,1585,439,767,645,0.5555523579057084,1.488924940778453
70,Saudi Arabia,71,1566,836,1282,894,0.5297805468724088,1.5613554829020595
71,Cape Verde,72,1549,251,267,278,0.5077366249409897,1.6291433805670867
75,Haiti,76,1532,561,957,759,0.4866099403392296,1.6998743614185918
78,South Africa,79,1517,525,719,542,0.468699978142208,1.7648299555565885
81,Ghana,82,1503,778,1247,822,0.45257923749391904,1.8276926846543662
90,Curaçao,91,1433,499,880,771,0.37992081836864483,2.1772319957245974
96,Qatar,96,1423,698,993,826,0.3705405399408552,2.232348886106008
