,team,rank,rating,total,goals_for,goals_against,offensive_rating,defensive_rating
0,Spain,1,2165,780,1591,697,1.2326505582763068,0.7482859538114454
1,Argentina,2,2113,1109,2112,1136,1.1508713200674312,0.8577805666604725
2,France,3,2081,938,1706,1272,1.0991085549761626,1.1355694247560573
3,England,4,2020,1160,2719,1118,1.4164968665356623,0.8070737683195627
4,Brazil,5,1984,1065,2294,954,1.3016919095587334,0.7501155777613956
5,Portugal,5,1984,694,1222,779,1.0640845444807923,0.9399557412684879
6,Colombia,7,1975,648,842,741,0.78523832034898,0.9575746045307473
7,Netherlands,8,1961,901,1892,1142,1.2689974250845262,1.0613795865538898
8,Ecuador,9,1935,599,721,904,0.7273992385837169,1.2637786836298812
9,Croatia,10,1930,398,694,401,1.053757789901946,0.8437051852993226
10,Germany,11,1923,1045,2352,1232,1.3601456808130552,0.9872424816879538
11,Norway,12,1912,886,1373,1443,0.9364858401309482,1.3638356135338718
12,Japan,13,1906,836,1518,985,1.0973114070334915,0.9866414818005627
13,Turkey,14,1902,669,947,969,0.8554374535540223,1.2129058116029334
14,Switzerland,15,1894,896,1339,1483,0.9031023391025834,1.385997857866384
15,Uruguay,16,1892,1019,1610,1254,0.954808093787729,1.0305113280131601
16,Senegal,17,1878,704,967,669,0.830076683194431,0.7957614133989183
18,Mexico,19,1868,1029,1824,1055,1.0712081272701142,0.8585517989654933
19,Belgium,20,1867,876,1599,1359,1.10308443706851,1.2991065374095248
21,Paraguay,22,1833,788,1002,1115,0.7684328171523436,1.184890091017002
22,Austria,23,1827,865,1560,1321,1.0898654638342193,1.2788397526778466
23,Morocco,24,1822,728,1103,614,0.9156057953973914,0.7062629262762258
24,Canada,25,1784,488,626,623,0.7752091871736961,1.0690490756495452
25,Australia,26,1775,636,1289,715,1.2247859661679537,0.941408995516822
26,Scotland,27,1770,868,1499,1076,1.0436294057209936,1.0380588223969578
31,Iran,32,1764,669,1273,525,1.1499175062030311,0.657147111549577
32,South Korea,33,1756,1051,1912,964,1.099384403941386,0.7680751875168447
34,Algeria,35,1743,688,1052,703,0.9240419785888705,0.8556502951039503
35,Panama,36,1737,591,736,906,0.7525835707573185,1.2837194887430836
36,Czechia,37,1733,883,1626,1098,1.1128182450766553,1.0412884572163734
38,Uzbekistan,39,1727,365,635,398,1.0513450169433454,0.9131026964926989
40,United States,41,1721,825,1246,1073,0.9127009310535223,1.0891186403772897
41,Sweden,42,1719,1118,2226,1482,1.2032275193558502,1.1100328152699896
45,Egypt,46,1699,884,1545,921,1.0561865156229309,0.8724424383412202
50,Jordan,51,1685,583,728,714,0.7546181113226069,1.0255552795407668
51,Ivory Coast,52,1676,692,1130,695,0.9868172869652787,0.8410234936706126
53,DR Congo,54,1655,547,835,641,0.9224939974345624,0.9812962085790669
57,Tunisia,58,1636,775,1105,839,0.8616382605205481,0.9065456451951424
62,Iraq,63,1608,760,1203,707,0.9565692917835438,0.7789960207069011
66,Bosnia and Herzegovina,67,1591,280,393,385,0.8482012708404846,1.1514156175936516
67,New Zealand,68,1585,439,767,645,1.055833028602494,1.230338493846188
70,Saudi Arabia,71,1566,836,1282,894,0.9267149037002215,0.8954898322128965
71,Cape Verde,72,1549,251,267,278,0.642838589743161,0.9274713268845639
75,Haiti,76,1532,561,957,759,1.0308927285173979,1.13294370929001
78,South Africa,79,1517,525,719,542,0.827625735347662,0.8645087650019174
81,Ghana,82,1503,778,1247,822,0.9686151472316424,0.8847521735564211
90,Curaçao,91,1433,499,880,771,1.0657283683657157,1.293847974005765
96,Qatar,96,1423,698,993,826,0.8597223668660307,0.9909552489006056
