match_number,round,date,time,team1,team2,group,venue
1,Matchday 1,2026-06-11,13:00 UTC-6,Mexico,South Africa,Group A,Mexico City
2,Matchday 1,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Group A,Guadalajara (Zapopan)
7,Matchday 2,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,Group B,Toronto
19,Matchday 2,2026-06-12,18:00 UTC-7,USA,Paraguay,Group D,Los Angeles (Inglewood)
8,Matchday 3,2026-06-13,12:00 UTC-7,Qatar,Switzerland,Group B,San Francisco Bay Area (Santa Clara)
13,Matchday 3,2026-06-13,18:00 UTC-4,Brazil,Morocco,Group C,New York/New Jersey (East Rutherford)
14,Matchday 3,2026-06-13,21:00 UTC-4,Haiti,Scotland,Group C,Boston (Foxborough)
20,Matchday 3,2026-06-13,21:00 UTC-7,Australia,Turkey,Group D,Vancouver
25,Matchday 4,2026-06-14,12:00 UTC-5,Germany,Curaçao,Group E,Houston
31,Matchday 4,2026-06-14,15:00 UTC-5,Netherlands,Japan,Group F,Dallas (Arlington)
26,Matchday 4,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,Group E,Philadelphia
32,Matchday 4,2026-06-14,20:00 UTC-6,Sweden,Tunisia,Group F,Monterrey (Guadalupe)
43,Matchday 5,2026-06-15,12:00 UTC-4,Spain,Cape Verde,Group H,Atlanta
37,Matchday 5,2026-06-15,12:00 UTC-7,Belgium,Egypt,Group G,Seattle
44,Matchday 5,2026-06-15,18:00 UTC-4,Saudi Arabia,Uruguay,Group H,Miami (Miami Gardens)
38,Matchday 5,2026-06-15,18:00 UTC-7,Iran,New Zealand,Group G,Los Angeles (Inglewood)
49,Matchday 6,2026-06-16,15:00 UTC-4,France,Senegal,Group I,New York/New Jersey (East Rutherford)
50,Matchday 6,2026-06-16,18:00 UTC-4,Iraq,Norway,Group I,Boston (Foxborough)
55,Matchday 6,2026-06-16,20:00 UTC-5,Argentina,Algeria,Group J,Kansas City
56,Matchday 6,2026-06-16,21:00 UTC-7,Austria,Jordan,Group J,San Francisco Bay Area (Santa Clara)
61,Matchday 7,2026-06-17,12:00 UTC-5,Portugal,DR Congo,Group K,Houston
67,Matchday 7,2026-06-17,15:00 UTC-5,England,Croatia,Group L,Dallas (Arlington)
68,Matchday 7,2026-06-17,19:00 UTC-4,Ghana,Panama,Group L,Toronto
62,Matchday 7,2026-06-17,20:00 UTC-6,Uzbekistan,Colombia,Group K,Mexico City
3,Matchday 8,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Group A,Atlanta
9,Matchday 8,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,Group B,Los Angeles (Inglewood)
10,Matchday 8,2026-06-18,15:00 UTC-7,Canada,Qatar,Group B,Vancouver
4,Matchday 8,2026-06-18,19:00 UTC-6,Mexico,South Korea,Group A,Guadalajara (Zapopan)
21,Matchday 9,2026-06-19,12:00 UTC-7,USA,Australia,Group D,Seattle
15,Matchday 9,2026-06-19,18:00 UTC-4,Scotland,Morocco,Group C,Boston (Foxborough)
22,Matchday 9,2026-06-19,20:00 UTC-7,Turkey,Paraguay,Group D,San Francisco Bay Area (Santa Clara)
16,Matchday 9,2026-06-19,20:30 UTC-4,Brazil,Haiti,Group C,Philadelphia
33,Matchday 10,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Group F,Houston
27,Matchday 10,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,Group E,Toronto
28,Matchday 10,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Group E,Kansas City
34,Matchday 10,2026-06-20,22:00 UTC-6,Tunisia,Japan,Group F,Monterrey (Guadalupe)
45,Matchday 11,2026-06-21,12:00 UTC-4,Spain,Saudi Arabia,Group H,Atlanta
39,Matchday 11,2026-06-21,12:00 UTC-7,Belgium,Iran,Group G,Los Angeles (Inglewood)
46,Matchday 11,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Group H,Miami (Miami Gardens)
40,Matchday 11,2026-06-21,18:00 UTC-7,New Zealand,Egypt,Group G,Vancouver
57,Matchday 12,2026-06-22,12:00 UTC-5,Argentina,Austria,Group J,Dallas (Arlington)
51,Matchday 12,2026-06-22,17:00 UTC-4,France,Iraq,Group I,Philadelphia
52,Matchday 12,2026-06-22,20:00 UTC-4,Norway,Senegal,Group I,New York/New Jersey (East Rutherford)
58,Matchday 12,2026-06-22,20:00 UTC-7,Jordan,Algeria,Group J,San Francisco Bay Area (Santa Clara)
63,Matchday 13,2026-06-23,12:00 UTC-5,Portugal,Uzbekistan,Group K,Houston
69,Matchday 13,2026-06-23,16:00 UTC-4,England,Ghana,Group L,Boston (Foxborough)
70,Matchday 13,2026-06-23,19:00 UTC-4,Panama,Croatia,Group L,Toronto
64,Matchday 13,2026-06-23,20:00 UTC-6,Colombia,DR Congo,Group K,Guadalajara (Zapopan)
11,Matchday 14,2026-06-24,12:00 UTC-7,Switzerland,Canada,Group B,Vancouver
12,Matchday 14,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,Group B,Seattle
17,Matchday 14,2026-06-24,18:00 UTC-4,Scotland,Brazil,Group C,Miami (Miami Gardens)
18,Matchday 14,2026-06-24,18:00 UTC-4,Morocco,Haiti,Group C,Atlanta
